"tag","timeStamp","duration"
"NA","00:00","0"
"DST_One_Window_start","11:06","60"
"DST_One_Window_Incorrect","11:48","1"
"DST_One_Window_Incorrect","12:04","1"
"DST_One_Window_Incorrect","12:05","1"
"DST_One_Window_Incorrect","12:06","1"
"Benton_One_Window_start","12:13","27"
"DST_With_Teacher_start","17:08","62"
"DST_With_Teacher_Incorrect","17:34","1"
"DST_With_Teacher_Incorrect","17:36","1"
"DST_With_Teacher_Incorrect","17:53","1"
"DST_With_Teacher_Incorrect","18:09","1"
"Benton_With_Teacher_start","18:17","42"
"Benton_With_Teacher_Incorrect","18:49","1"
"DST_Blue_Classroom_start","19:24","55"
"DST_Blue_Classroom_Incorrect","19:38","1"
"DST_Blue_Classroom_Incorrect","19:52","1"
"DST_Blue_Classroom_Incorrect","19:53","1"
"DST_Blue_Classroom_Incorrect","19:55","1"
"DST_Blue_Classroom_Incorrect","19:56","1"
"DST_Blue_Classroom_Incorrect","20:10","1"
"DST_Blue_Classroom_Incorrect","20:18","1"
"Benton_Blue_Classroom_start","20:27","38"
"Benton_Blue_Classroom_Incorrect","21:05","1"
"DST_Two_Windows_start","21:33","66"
"DST_Two_Windows_Incorrect","22:15","1"
"DST_Two_Windows_Incorrect","22:19","1"
"DST_Two_Windows_Incorrect","22:32","1"
"DST_Two_Windows_Incorrect","22:36","1"
"Benton_Two_Windows_start","22:48","34"
"DST_Red_Classroom_start","29:08","58"
"DST_Red_Classroom_Incorrect","29:46","1"
"DST_Red_Classroom_Incorrect","29:57","1"
"DST_Red_Classroom_Incorrect","30:01","1"
"DST_Red_Classroom_Incorrect","30:04","1"
"DST_Red_Classroom_Incorrect","30:05","1"
"Benton_Red_Classroom_start","30:13","29"
"Stroop_With_Teacher_start","32:11","36"
"Stroop_With_Teacher_Incorrect","32:18","1"
"Stroop_With_Teacher_Incorrect","32:34","1"
"PST_With_Teacher_start","32:48","15"
"PST_With_Teacher_Incorrect","32:54","1"
"VMT_With_Teacher_start","33:11","39"
"VMT_With_Teacher_Incorrect","33:32","1"
"VMT_With_Teacher_Incorrect","33:41","1"
"VMT_With_Teacher_Incorrect","33:47","1"
"Stroop_Red_Classroom_start","37:36","26"
"Stroop_Red_Classroom_Incorrect","37:38","1"
"Stroop_Red_Classroom_Incorrect","37:39","1"
"Stroop_Red_Classroom_Incorrect","37:54","1"
"PST_Red_Classroom_start","38:13","15"
"PST_Red_Classroom_Incorrect","38:28","1"
"VMT_Red_Classroom_start","38:36","30"
"Stroop_One_Window_start","39:20","26"
"PST_One_Window_start","39:58","15"
"VMT_One_Window_start","40:20","30"
"VMT_One_Window_Incorrect","40:39","1"
"VMT_One_Window_Incorrect","40:47","1"
"Stroop_Two_Windows_start","41:04","26"
"PST_Two_Windows_start","41:43","15"
"PST_Two_Windows_Incorrect","41:52","1"
"VMT_Two_Windows_start","42:05","27"
"Stroop_Blue_Classroom_start","42:46","26"
"PST_Blue_Classroom_start","43:24","15"
"VMT_Blue_Classroom_start","43:46","30"
"VMT_Blue_Classroom_Incorrect","44:03","1"
"VMT_Blue_Classroom_Incorrect","44:11","1"
"VMT_Blue_Classroom_Incorrect","44:14","1"
"VMT_Blue_Classroom_Incorrect","44:14","1"
"Benton_One_Window_Incorrect","N/A","1"
"Stroop_One_Window_Incorrect","N/A","1"
"PST_One_Window_Incorrect","N/A","1"
"Benton_Two_Windows_Incorrect","N/A","1"
"Stroop_Two_Windows_Incorrect","N/A","1"
"VMT_Two_Windows_Incorrect","N/A","1"
"Stroop_Blue_Classroom_Incorrect","N/A","1"
"PST_Blue_Classroom_Incorrect","N/A","1"
"Benton_Red_Classroom_Incorrect","N/A","1"
"VMT_Red_Classroom_Incorrect","N/A","1"
