"tag","timeStamp","duration"
"NA","00:00","0"
"DST_With_Teacher_start","15:09","62"
"DST_With_Teacher_Incorrect","16:00","1"
"DST_With_Teacher_Incorrect","16:10","1"
"Benton_With_Teacher_start","16:17","103"
"DST_Blue_Classroom_start","19:11","75"
"DST_Blue_Classroom_Incorrect","19:52","1"
"DST_Blue_Classroom_Incorrect","20:06","1"
"DST_Blue_Classroom_Incorrect","20:10","1"
"DST_Blue_Classroom_Incorrect","20:11","1"
"Benton_Blue_Classroom_start","20:31","36"
"DST_Red_Classroom_start","21:16","73"
"DST_Red_Classroom_Incorrect","22:05","1"
"DST_Red_Classroom_Incorrect","22:22","1"
"DST_Two_Windows_start","25:21","39"
"DST_Two_Windows_Incorrect","26:20","1"
"DST_One_Window_start","29:24","70"
"DST_One_Window_Incorrect","29:47","1"
"DST_One_Window_Incorrect","30:03","1"
"DST_One_Window_Incorrect","30:05","1"
"DST_One_Window_Incorrect","30:11","1"
"DST_One_Window_Incorrect","30:30","1"
"DST_One_Window_Incorrect","30:31","1"
"DST_One_Window_Incorrect","30:33","1"
"Benton_One_Window_start","30:40","25"
"Benton_Two_Windows_Incorrect","Can't read answers","1"
"Benton_Red_Classroom_Incorrect","Can't Read Answers","1"
"Stroop:_One_Window_start",NA,"??"
"PST:_One_Window_start",NA,"??"
"VMT:_One_Window_start",NA,"??"
"Benton:_One_Window_Incorrect",NA,"1"
"Stroop:_One_Window_Incorrect",NA,"1"
"PST:_One_Window_Incorrect",NA,"1"
"VMT:_One_Window_Incorrect",NA,"1"
"Benton:26:33_Two_Windows_start",NA,NA
"Stroop:_Two_Windows_start",NA,NA
"PST:_Two_Windows_start",NA,NA
"VMT:_Two_Windows_start",NA,NA
"Stroop:_Two_Windows_Incorrect",NA,"1"
"PST:_Two_Windows_Incorrect",NA,"1"
"VMT:_Two_Windows_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_start",NA,NA
"PST:_Blue_Classroom_start",NA,NA
"VMT:_Blue_Classroom_start",NA,NA
"Benton:Can't Read Answers_Blue_Classroom_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_Incorrect",NA,"1"
"PST:_Blue_Classroom_Incorrect",NA,"1"
"VMT:_Blue_Classroom_Incorrect",NA,"1"
"Benton:22:31_Red_Classroom_start",NA,"31"
"Stroop:_Red_Classroom_start",NA,NA
"PST:_Red_Classroom_start",NA,NA
"VMT:_Red_Classroom_start",NA,NA
"Stroop:_Red_Classroom_Incorrect",NA,"1"
"PST:_Red_Classroom_Incorrect",NA,"1"
"VMT:_Red_Classroom_Incorrect",NA,"1"
"Stroop_With_Teacher_start",NA,NA
"PST:_With_Teacher_start",NA,NA
"VMT:_With_Teacher_start",NA,NA
"Benton:_With_Teacher_Incorrect",NA,"1"
"Stroop:_With_Teacher_Incorrect",NA,"1"
"PST:_With_Teacher_Incorrect",NA,"1"
"VMT:_With_Teacher_Incorrect",NA,"1"
