"tag","timeStamp","duration"
"NA","00:00","0"
"DST_With_Teacher_start","14:09","57"
"DST_With_Teacher_Incorrect","14:46","1"
"DST_With_Teacher_Incorrect","15:01","1"
"Benton_With_Teacher_start","15:10","32"
"DST_One_Window_start","15:58 ","63"
"DST_One_Window_Incorrect","16:37","1"
"Benton_One_Window_start","17:04","23"
"DST_Two_Windows_start","20:08","53"
"DST_Two_Windows_Incorrect","20:27","1"
"DST_Two_Windows_Incorrect","20:42","1"
"Benton_Two_Windows_start","21:04","26"
"DST_Red_Classroom_start","21:50","68"
"DST_Red_Classroom_Incorrect","22:33","1"
"DST_Red_Classroom_Incorrect","22:49","1"
"DST_Red_Classroom_Incorrect","22:53","1"
"Benton_Red_Classroom_start","23:06","26"
"DST_Blue_Classroom_start","23:51","52"
"DST_Blue_Classroom_Incorrect","24:26","1"
"DST_Blue_Classroom_Incorrect","24:42","1"
"Benton_Blue_Classroom_start","24:49","25"
"Stroop_Red_Classroom_start","34:53","29"
"PST_Red_Classroom_start","35:27","20"
"Visual_Red_Classroom_start","35:53","30"
"Stroop_One_Window_start","36:51","28"
"Stroop_One_Window_Incorrect","37:13","1"
"PST_One_Window_start","37:24","21"
"PST_One_Window_Incorrect","37:34","1"
"VMT_One_Window_start","37:52","28"
"Stroop_With_Teacher_start","40:18","17"
"PST_With_Teacher_start","40:56","18"
"VMT_With_Teacher_start","41:20","28"
"Stroop_Blue_Classroom_start","45:30","28"
"PST_Blue_Classroom_start","46:09","16"
"PST_Blue_Classroom_Incorrect","46:18","1"
"VMT_Blue_Classroom_start","46:31","45"
"VMT_Blue_Classroom_Incorrect","46:39","1"
"VMT_Blue_Classroom_Incorrect","46:41","1"
"VMT_Blue_Classroom_Incorrect","46:51","1"
"VMT_Blue_Classroom_Incorrect","46:55","1"
"VMT_Blue_Classroom_Incorrect","46:56","1"
"VMT_Blue_Classroom_Incorrect","46:59","1"
"VMT_Blue_Classroom_Incorrect","47:00","1"
"VMT_Blue_Classroom_Incorrect","47:01","1"
"VMT_Blue_Classroom_Incorrect","47:13","1"
"Stroop_Two_Windows_start","47:29","16"
"Stroop_Two_Windows_Incorrect","47:48","1"
"PST_Two_Windows_start","48:05","17"
"PST_Two_Windows_Incorrect","48:13","1"
"PST_Two_Windows_Incorrect","48:20","1"
"VMT_Two_Windows_start","48:27","29"
"Benton:_One_Window_Incorrect",NA,"1"
"VMT:_One_Window_Incorrect",NA,"1"
"Benton:_Two_Windows_Incorrect",NA,"1"
"VMT:_Two_Windows_Incorrect",NA,"1"
"Benton:_Blue_Classroom_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_Incorrect",NA,"1"
"Benton:_Red_Classroom_Incorrect",NA,"1"
"Stroop:_Red_Classroom_Incorrect",NA,"1"
"PST:_Red_Classroom_Incorrect",NA,"1"
"VMT:_Red_Classroom_Incorrect",NA,"1"
"Benton:_With_Teacher_Incorrect",NA,"1"
"Stroop:_With_Teacher_Incorrect",NA,"1"
"PST:_With_Teacher_Incorrect",NA,"1"
"VMT:_With_Teacher_Incorrect",NA,"1"
