"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Blue_Classroom_start","13:00","55"
"DST_Blue_Classroom_Incorrect","13:48","1"
"DST_Blue_Classroom_Incorrect","13:54","1"
"Benton_Blue_Classroom_start","14:02","30"
"DST_Two_Windows_start","14:54","49"
"DST_Two_Windows_Incorrect","15:37","1"
"DST_Two_Windows_Incorrect","15:42","1"
"Benton_Two_Windows_start","15:46","24"
"DST_With_Teacher_start","16:33","62"
"DST_With_Teacher_Incorrect","17:32","1"
"Benton_With_Teacher_start","17:40","36"
"Benton_With_Teacher_Incorrect","17:46","1"
"DST_Red_Classroom_start","21:57","51"
"DST_Red_Classroom_Incorrect","22:16","1"
"DST_Red_Classroom_Incorrect","22:18","1"
"Benton_Red_Classroom_start","22:53","22"
"DST_One_Window_start","23:38","53"
"DST_One_Window_Incorrect","24:22","1"
"DST_One_Window_Incorrect","24:30","1"
"Benton_One_Window_start","24:38","26"
"Stroop_One_Window_start","28:07","29"
"PST_One_Window_start","28:47","15"
"VMT_One_Window_start","29:09","30"
"VMT_One_Window_Incorrect","29:14","1"
"VMT_One_Window_Incorrect","29:19","1"
"VMT_One_Window_Incorrect","29:26","1"
"VMT_One_Window_Incorrect","29:26","1"
"VMT_One_Window_Incorrect","29:37","1"
"VMT_One_Window_Incorrect","29:38","1"
"Stroop_Two_Windows_start","31:30","26"
"PST_Two_Windows_start","32:07","26"
"PST_Two_Windows_Incorrect","32:16","1"
"VMT_Two_Windows_start","32:38","15"
"VMT_Two_Windows_Incorrect","32:38","1"
"Stroop_Blue_Classroom_start","33:06","26"
"Stroop_Blue_Classroom_Incorrect","33:26","1"
"PST_Blue_Classroom_start","33:43","17"
"PST_Blue_Classroom_Incorrect","33:53","1"
"VMT_Blue_Classroom_start","34:05","31"
"VMT_Blue_Classroom_Incorrect","34:23","1"
"Stroop_With_Teacher_start","38:13","27"
"PST_With_Teacher_start","38:51","15"
"PST_With_Teacher_Incorrect","39:02","1"
"PST_With_Teacher_Incorrect","39:05","1"
"VMT_With_Teacher_start","39:14","23"
"VMT_With_Teacher_Incorrect","39:21","1"
"VMT_With_Teacher_Incorrect","39:35","1"
"Stroop_Red_Classroom_start","41:28","27"
"Stroop_Red_Classroom_Incorrect","41:30","1"
"Stroop_Red_Classroom_Incorrect","41:30","1"
"Stroop_Red_Classroom_Incorrect","41:35","1"
"Stroop_Red_Classroom_Incorrect","41:35","1"
"Stroop_Red_Classroom_Incorrect","41:50","1"
"PST_Red_Classroom_start","42:07","15"
"VMT_Red_Classroom_start","42:33","30"
"VMT_Red_Classroom_Incorrect","43:02","1"
"VMT_Red_Classroom_Incorrect","43:03","1"
"Benton:_One_Window_Incorrect",NA,"1"
"Stroop:_One_Window_Incorrect",NA,"1"
"PST:_One_Window_Incorrect",NA,"1"
"Benton:_Two_Windows_Incorrect",NA,"1"
"Stroop:_Two_Windows_Incorrect",NA,"1"
"Benton:_Blue_Classroom_Incorrect",NA,"1"
"Benton:_Red_Classroom_Incorrect",NA,"1"
"PST:_Red_Classroom_Incorrect",NA,"1"
"Stroop:_With_Teacher_Incorrect",NA,"1"
