Subject Number,File Name,Dataset,Endpoints from Video,Timepoints for Tasks (before removal),Final Channels and Timepoints to Delete,Notes,Notes (Matt & Elita),Notes (Sarah),Notes (Rishitha and Michael),Notes(Kelly),Notes(Claire)                        
,,,,"DST_Bar_start []  (duration  seconds), BT_Bar_start []  (duration  seconds), ST_Bar_start []  (duration  seconds), PST_Bar_start []  (duration  seconds), VMT_Bar_start [] (duration  seconds), ",,,,,,,
11,,,"Video A2 start = 1:09, Video A2 end =10:10, Duration = 541, in EEG, ""A2A3 trigger start"" is at 16.29 seconds. So end of A2 is 558 seconds.","DST_One_start [1448 1506]  (duration 58 seconds), BT_One_start [1513 1538]  (duration 25 seconds), ST_One_start [2348 2375]  (duration 27 seconds), PST_One_start [2386 2401]  (duration 15 seconds), VMT_One_start [2407 2430] (duration 23 seconds), ",,,,,,,
,,,,"DST_Two_start [1161 1211]  (duration 50 seconds), BT_Two_start [1217 1238]  (duration 21 seconds), ST_Two_start [1679 1705]  (duration 26 seconds), PST_Two_start [1716 1731]  (duration 15 seconds), VMT_Two_start [1737 1759] (duration 22 seconds), ",,,,,,,
,,,,"DST_Blue_start [961 1012]  (duration 51 seconds), BT_Blue_start [1018 1043]  (duration 25 seconds), ST_Blue_start [2148 2175]  (duration 27 seconds), PST_Blue_start [2185 2200]  (duration 15 seconds), VMT_Blue_start [2207 2227] (duration 20 seconds), ",,,,,,,
,,,,"DST_Red_start [1255 1323]  (duration 68 seconds), BT_Red_start [1310 1330]  (duration 20 seconds), ST_Red_start [1774 1801]  (duration 27 seconds), PST_Red_start [1811 1827]  (duration 16 seconds), VMT_Red_start [1833 1853] (duration 20 seconds), ",,,,,,,
,,,,"DST_Teach_start [854 908]  (duration 54 seconds), BT_Teach_start [915 941]  (duration 26 seconds), ST_Teach_start [2447 2475]  (duration 28 seconds), PST_Teach_start [2486 2501]  (duration 15 seconds), VMT_Teach_start [2507 2532] (duration 25 seconds), ",,,,,,,
,,,,"DST_Narrow_start [659 717]  (duration 58 seconds), BT_Narrow_start [720 744]  (duration 24 seconds), ST_Narrow_start [2256 2283]  (duration 27 seconds), PST_Narrow_start [2293 2309]  (duration 16 seconds), VMT_Narrow_start [2315 2337] (duration 22 seconds), ",,,,,,,
,,,,"DST_Green_start [764 809]  (duration 45 seconds), BT_Green_start [815 833]  (duration 18 seconds), ST_Green_start [1868 1894]  (duration 26 seconds), PST_Green_start [1895 1920]  (duration 25 seconds), VMT_Green_start [1927 1949] (duration 22 seconds), ",,,,,,,
,,,,"DST_Wide_start [1059 1112]  (duration 53 seconds), BT_Wide_start [1118 1143]  (duration 25 seconds), ST_Wide_start [2054 2081]  (duration 27 seconds), PST_Wide_start [2092 2107]  (duration 15 seconds), VMT_Wide_start [2113 2134] (duration 21 seconds), ",,,,,,,
,,,,"DST_Bar_start [1347 1395]  (duration 48 seconds), BT_Bar_start [1401 1428]  (duration 27 seconds), ST_Bar_start [1963 1988]  (duration 25 seconds), PST_Bar_start [1999 2024]  (duration 25 seconds), VMT_Bar_start [2021 2042] (duration 21 seconds), ",,,,,,,
