"tag","timeStamp","duration"
"NA","00:00","0"
"DST_With_Teacher_Start","00:12:48","62"
"DST_With_Teacher_Incorrect","00:13:37","1"
"Benton_With_Teacher_Start","00:13:54","26"
"DST_Two_Windows_Start","00:14:50","62"
"DST_Two_Windows_Incorrect","00:15:41","1"
"DST_Two_Windows_Incorrect","00:15:52","1"
"DST_Two_Windows_Incorrect","00:15:54","1"
"DST_Two_Windows_Incorrect","00:15:55","1"
"Benton_Two_Windows_Start","00:16:03","24"
"DST_One_Window_Start","00:18:59","52"
"DST_One_Window_Incorrect","00:19:40","1"
"DST_One_Window_Incorrect","00:19:49","1"
"Benton_One_Window_Start","00:19:59","21"
"DST_Red_Classroom_Start","00:20:43","62"
"DST_Red_Classroom_Incorrect","00:21:31","1"
"DST_Red_Classroom_Incorrect","00:21:40","1"
"Benton_Red_Classroom_Start","00:21:51","26"
"DST_Blue_Classroom_Start","00:22:40","55"
"DST_Blue_Classroom_Incorrect","00:23:25","1"
"DST_Blue_Classroom_Incorrect","00:23:33","1"
"Benton_Blue_Classroom_Start","00:23:41","36"
"Stroop_One_Window_Start","00:31:28","26"
"PST_One_Window_Start","00:32:05","15"
"VMT_One_Window_Start","00:32:29","26"
"Stroop_Two_Windows_Start","00:33:18","26"
"PST_Two_Windows_Start","00:33:52","15"
"VMT_Two_Windows_Start","00:34:10","32"
"Stroop_Blue_Classroom_Start","00:34:58","26"
"PST_Blue_Classroom_Start","00:35:35","16"
"PST_Blue_Classroom_Incorrect","00:35:50","1"
"VMT_Blue_Classroom_Start","00:36:00","26"
"Stroop_Red_Classroom_Incorrect","00:42:01","1"
"PST_Red_Classroom_Start","00:42:28","16"
"VMT_Red_Classroom_Start","00:42:52","26"
"Stroop_With_Teacher_Start","00:43:29","27"
"PST_With_Teacher_Start","00:44:06","16"
"PST_With_Teacher_Incorrect","00:44:10","1"
"VMT_With_Teacher_Start","00:44:28","26"
"VMT_With_Teacher_Incorrect","00:44:54","1"
"Benton_One_Window_Incorrect","00:NA","1"
"Stroop:_One_Window_Incorrect","00:NA","1"
"PST:_One_Window_Incorrect","00:NA","1"
"VMT:_One_Window_Incorrect","00:NA","1"
"Benton:_Two_Windows_Incorrect","00:NA","1"
"Stroop_Two_Windows_Incorrect","00:NA","1"
"PST:_Two_Windows_Incorrect","00:NA","1"
"VMT:_Two_Windows_Incorrect","00:NA","1"
"Benton:_Blue_Classroom_Incorrect","00:NA","1"
"Stroop:_Blue_Classroom_Incorrect","00:NA","1"
"VMT:_Blue_Classroom_Incorrect","00:NA","1"
"Stroop:41:52_Red_Classroom_Start","00:NA","26"
"Benton:_Red_Classroom_Incorrect","00:NA","1"
"PST:_Red_Classroom_Incorrect","00:NA","1"
"VMT:_Red_Classroom_Incorrect","00:NA","1"
"Benton:_With_Teacher_Incorrect","00:NA","1"
"Stroop:_With_Teacher_Incorrect","00:NA","1"
