"tag","timeStamp","duration"
"DST_Two_Incorrect","00:0:12:00","1"
"DST_Two_Incorrect","00:0:12:02","1"
"DST_Two_Incorrect","00:0:12:20","1"
"DST_Two_Incorrect","00:0:12:22","1"
"DST_Two_Incorrect","00:0:12:22","1"
"DST_Two_Incorrect","00:0:12:23","1"
"DST_Two_Incorrect","00:0:12:24","1"
"DST_Two_Incorrect","00:0:12:38","1"
"DST_Two_Incorrect","00:0:12:39","1"
"DST_Two_Incorrect","00:0:12:42","1"
"DST_Blue_Incorrect","00:0:14:41","1"
"DST_Blue_Incorrect","00:0:14:42","1"
"DST_Blue_Incorrect","00:0:14:43","1"
"DST_Blue_Incorrect","00:0:14:45","1"
"DST_Red_Incorrect","00:0:16:07","1"
"DST_Red_Incorrect","00:0:16:12","1"
"DST_Red_Incorrect","00:0:16:25","1"
"DST_Red_Incorrect","00:0:16:27","1"
"DST_Red_Incorrect","00:0:16:29","1"
"DST_Red_Incorrect","00:0:16:30","1"
"DST_Red_Incorrect","00:0:16:30","1"
"DST_Red_Incorrect","00:0:16:45","1"
"DST_Red_Incorrect","00:0:16:49","1"
"DST_Red_Incorrect","00:0:16:50","1"
"DST_Red_Incorrect","00:0:16:51","1"
"DST_Red_Incorrect","00:0:16:52","1"
"DST_Red_Incorrect","00:0:16:52","1"
"DST_Teach_Incorrect","00:0:18:12","1"
"DST_Teach_Incorrect","00:0:18:14","1"
"DST_Teach_Incorrect","00:0:18:31","1"
"DST_Teach_Incorrect","00:0:18:33","1"
"DST_Teach_Incorrect","00:0:18:35","1"
"DST_Teach_Incorrect","00:0:18:36","1"
"DST_Teach_Incorrect","00:0:18:52","1"
"DST_Teach_Incorrect","00:0:18:54","1"
"DST_Teach_Incorrect","00:0:18:56","1"
"VMT_One_Incorrect","00:0:31:00","1"
"NA","00:00","0"
"DST_One_Incorrect","00:10:03","1"
"DST_One_Incorrect","00:10:17,10:23","1"
"DST_One_Incorrect","00:10:23 ","1"
"BT_One_Start","00:10:55","20 "
"DST_Two_Start","00:11:42","65"
"DST_Blue_Start","00:13:43","64"
"BT_Blue_Start","00:14:54","22 "
"DST_Red_Start","00:15:45","68"
"BT_Red_Start","00:17:01","22"
"DST_Teach_Start","00:17:47","70"
"BT_Teach_Start","00:19:04","19 "
"ST_One_Start","00:29:56","27 "
"ST_One_Incorrect","00:30:17","1"
"PST_One_Start","00:30:34","15 "
"VMT_One_Start","00:30:56","29"
"VMT_One_Incorrect","00:31:25","1"
"ST_Blue_Start","00:31:38","26 "
"ST_Blue_Incorrect","00:32:03","1"
"PST_Blue_Start","00:32:15","16 "
"PST_Blue_Incorrect","00:32:19","1"
"PST_Blue_Incorrect","00:32:25","1"
"VMT_Blue_Start","00:32:40","28"
"VMT_Blue_Incorrect","00:33:07","1"
"VMT_Blue_Incorrect","00:33:07","1"
"ST_Red_Start","00:33:27","27"
"PST_Red_Start","00:34:04","16 "
"PST_Red_Incorrect","00:34:14","1"
"VMT_Red_Start","00:34:26","24"
"ST_Teach_Start","00:35:07","26 "
"ST_Teach_Incorrect","00:35:32","1"
"PST_Teach_Start","00:35:46","16 "
"VMT_Teach_Start","00:36:09","25"
"VMT_Teach_Incorrect","00:36:30","1"
"VMT_Teach_Incorrect","00:36:31","1"
"ST_Two_Start","00:36:48","26 "
"PST_Two_Start","00:37:26","16 "
"VMT_Two_Start","00:37:49","25"
"VMT_Two_Incorrect","00:38:08","1"
"VMT_Two_Incorrect","00:38:12","1"
"DST_One_Start","00:9:37","71"
"BT_One_Incorrect","00:NA","1"
"PST:_One_Incorrect","00:NA","1"
"BT:12:55_Two_Start","00:NA","21 "
"BT:_Two_Incorrect","00:NA","1"
"ST:_Two_Incorrect","00:NA","1"
"PST:_Two_Incorrect","00:NA","1"
"BT:_Blue_Incorrect","00:NA","1"
"BT:_Red_Incorrect","00:NA","1"
"ST:_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"BT:_Teach_Incorrect","00:NA","1"
"PST:_Teach_Incorrect","00:NA","1"
