"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Classroom_start","10:15","51"
"DST_Red_Classroom_Incorrect","10:47","1"
"DST_Red_Classroom_Incorrect","11:02","1"
"DST_Red_Classroom_Incorrect","11:04","1"
"Benton_Red_Classroom_start","11:11","22"
"DST_Two_Windows_start","15:14","55"
"DST_Two_Windows_Incorrect","15:50","1"
"Benton_Two_Windows_start","16:15","20"
"Benton_Blue_Classroom_Incorrect","16:15","1"
"DST_Blue_Classroom_start","16:52","52"
"DST_Blue_Classroom_Incorrect","17:27","1"
"DST_Blue_Classroom_Incorrect","17:43","1"
"Benton_Blue_Classroom_start","17:52","29"
"DST_One_Window_start","20:15","55"
"DST_One_Window_Incorrect","20:54","1"
"DST_One_Window_Incorrect","21:08","1"
"DST_One_Window_Incorrect","21:09","1"
"Benton_One_Window_start","21:16","20"
"Stroop_One_Window_start","24:37 ","26 "
"PST_One_Window_start","25:14 ","16"
"VMT_One_Window_start","25:36","24"
"VMT_One_Window_Incorrect","25:40","1"
"Stroop_Two_Windows_start","27:52","30"
"PST_Two_Windows_start","28:32","16"
"VMT_Two_Windows_start","28:54","28"
"VMT_Two_Windows_Incorrect","29:05","1"
"VMT_Two_Windows_Incorrect","29:12","1"
"Stroop_Red_Classroom_start","31:11","27"
"PST_Red_Classroom_start","31:48","16"
"PST_Red_Classroom_Incorrect","31:53","1"
"VMT_Red_Classroom_start","32:10","17"
"VMT_Red_Classroom_Incorrect","32:27","1"
"Stroop_With_Teacher_start","32:51","27"
"PST_With_Teacher_start","33:28","15"
"PST_With_Teacher_Incorrect","33:39","1"
"VMT_With_Teacher_start","33:49","24"
"Stroop_Blue_Classroom_start","36:06","27"
"PST_Blue_Classroom_start","36:43","16"
"PST_Blue_Classroom_Incorrect","36:49","1"
"VMT_Blue_Classroom_start","37:05","28"
"VMT_Blue_Classroom_Incorrect","37:31","1"
"DST_With_Teacher_start","8:37","49"
"DST_With_Teacher_Incorrect","9:10","1"
"Benton_With_Teacher_start","9:32","28"
"Benton_With_Teacher_Incorrect","9:53","1"
"Benton:_One_Window_Incorrect",NA,"1"
"Stroop:_One_Window_Incorrect",NA,"1"
"PST:_One_Window_Incorrect",NA,"1"
"Benton:_Two_Windows_Incorrect",NA,"1"
"Stroop:_Two_Windows_Incorrect",NA,"1"
"PST:_Two_Windows_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_Incorrect",NA,"1"
"Benton:_Red_Classroom_Incorrect",NA,"1"
"Stroop:_Red_Classroom_Incorrect",NA,"1"
"Stroop:_With_Teacher_Incorrect",NA,"1"
"VMT:_With_Teacher_Incorrect",NA,"1"
