"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Teach_Start","00:12:48","62"
"DST_Teach_Incorrect","00:13:37","1"
"BT_Teach_Start","00:13:54","26"
"DST_Two_Start","00:14:50","62"
"DST_Two_Incorrect","00:15:41","1"
"DST_Two_Incorrect","00:15:52","1"
"DST_Two_Incorrect","00:15:54","1"
"DST_Two_Incorrect","00:15:55","1"
"BT_Two_Start","00:16:03","24"
"DST_One_Start","00:18:59","52"
"DST_One_Incorrect","00:19:40","1"
"DST_One_Incorrect","00:19:49","1"
"BT_One_Start","00:19:59","21"
"DST_Red_Start","00:20:43","62"
"DST_Red_Incorrect","00:21:31","1"
"DST_Red_Incorrect","00:21:40","1"
"BT_Red_Start","00:21:51","26"
"DST_Blue_Start","00:22:40","55"
"DST_Blue_Incorrect","00:23:25","1"
"DST_Blue_Incorrect","00:23:33","1"
"BT_Blue_Start","00:23:41","36"
"ST_One_Start","00:31:28","26"
"PST_One_Start","00:32:05","15"
"VMT_One_Start","00:32:29","26"
"ST_Two_Start","00:33:18","26"
"PST_Two_Start","00:33:52","15"
"VMT_Two_Start","00:34:10","32"
"ST_Blue_Start","00:34:58","26"
"PST_Blue_Start","00:35:35","16"
"PST_Blue_Incorrect","00:35:50","1"
"VMT_Blue_Start","00:36:00","26"
"ST_Red_Incorrect","00:42:01","1"
"PST_Red_Start","00:42:28","16"
"VMT_Red_Start","00:42:52","26"
"ST_Teach_Start","00:43:29","27"
"PST_Teach_Start","00:44:06","16"
"PST_Teach_Incorrect","00:44:10","1"
"VMT_Teach_Start","00:44:28","26"
"VMT_Teach_Incorrect","00:44:54","1"
"BT_One_Incorrect","00:NA","1"
"ST:_One_Incorrect","00:NA","1"
"PST:_One_Incorrect","00:NA","1"
"VMT:_One_Incorrect","00:NA","1"
"BT:_Two_Incorrect","00:NA","1"
"ST_Two_Incorrect","00:NA","1"
"PST:_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"BT:_Blue_Incorrect","00:NA","1"
"ST:_Blue_Incorrect","00:NA","1"
"VMT:_Blue_Incorrect","00:NA","1"
"ST:41:52_Red_Start","00:NA","26"
"BT:_Red_Incorrect","00:NA","1"
"PST:_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"BT:_Teach_Incorrect","00:NA","1"
"ST:_Teach_Incorrect","00:NA","1"
