"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Start","00:10:15","51"
"DST_Red_Incorrect","00:10:47","1"
"DST_Red_Incorrect","00:11:02","1"
"DST_Red_Incorrect","00:11:04","1"
"BT_Red_Start","00:11:11","22"
"DST_Two_Start","00:15:14","55"
"DST_Two_Incorrect","00:15:50","1"
"BT_Two_Start","00:16:15","20"
"BT_Blue_Incorrect","00:16:15","1"
"DST_Blue_Start","00:16:52","52"
"DST_Blue_Incorrect","00:17:27","1"
"DST_Blue_Incorrect","00:17:43","1"
"BT_Blue_Start","00:17:52","29"
"DST_One_Start","00:20:15","55"
"DST_One_Incorrect","00:20:54","1"
"DST_One_Incorrect","00:21:08","1"
"DST_One_Incorrect","00:21:09","1"
"BT_One_Start","00:21:16","20"
"ST_One_Start","00:24:37 ","26 "
"PST_One_Start","00:25:14 ","16"
"VMT_One_Start","00:25:36","24"
"VMT_One_Incorrect","00:25:40","1"
"ST_Two_Start","00:27:52","30"
"PST_Two_Start","00:28:32","16"
"VMT_Two_Start","00:28:54","28"
"VMT_Two_Incorrect","00:29:05","1"
"VMT_Two_Incorrect","00:29:12","1"
"ST_Red_Start","00:31:11","27"
"PST_Red_Start","00:31:48","16"
"PST_Red_Incorrect","00:31:53","1"
"VMT_Red_Start","00:32:10","17"
"VMT_Red_Incorrect","00:32:27","1"
"ST_Teach_Start","00:32:51","27"
"PST_Teach_Start","00:33:28","15"
"PST_Teach_Incorrect","00:33:39","1"
"VMT_Teach_Start","00:33:49","24"
"ST_Blue_Start","00:36:06","27"
"PST_Blue_Start","00:36:43","16"
"PST_Blue_Incorrect","00:36:49","1"
"VMT_Blue_Start","00:37:05","28"
"VMT_Blue_Incorrect","00:37:31","1"
"DST_Teach_Start","00:8:37","49"
"DST_Teach_Incorrect","00:9:10","1"
"BT_Teach_Start","00:9:32","28"
"BT_Teach_Incorrect","00:9:53","1"
"BT:_One_Incorrect","00:NA","1"
"ST:_One_Incorrect","00:NA","1"
"PST:_One_Incorrect","00:NA","1"
"BT:_Two_Incorrect","00:NA","1"
"ST:_Two_Incorrect","00:NA","1"
"PST:_Two_Incorrect","00:NA","1"
"ST:_Blue_Incorrect","00:NA","1"
"BT:_Red_Incorrect","00:NA","1"
"ST:_Red_Incorrect","00:NA","1"
"ST:_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
