"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Teach_Start","00:15:09","62"
"DST_Teach_Incorrect","00:16:00","1"
"DST_Teach_Incorrect","00:16:10","1"
"BT_Teach_Start","00:16:17","103"
"DST_Blue_Start","00:19:11","75"
"DST_Blue_Incorrect","00:19:52","1"
"DST_Blue_Incorrect","00:20:06","1"
"DST_Blue_Incorrect","00:20:10","1"
"DST_Blue_Incorrect","00:20:11","1"
"BT_Blue_Start","00:20:31","36"
"DST_Red_Start","00:21:16","73"
"DST_Red_Incorrect","00:22:05","1"
"DST_Red_Incorrect","00:22:22","1"
"DST_Two_Start","00:25:21","39"
"DST_Two_Incorrect","00:26:20","1"
"DST_One_Start","00:29:24","70"
"DST_One_Incorrect","00:29:47","1"
"DST_One_Incorrect","00:30:03","1"
"DST_One_Incorrect","00:30:05","1"
"DST_One_Incorrect","00:30:11","1"
"DST_One_Incorrect","00:30:30","1"
"DST_One_Incorrect","00:30:31","1"
"DST_One_Incorrect","00:30:33","1"
"BT_One_Start","00:30:40","25"
"BT_Two_Incorrect","00:Can't read answers","1"
"BT_Red_Incorrect","00:Can't Read Answers","1"
"ST:_One_Start","00:NA","??"
"PST:_One_Start","00:NA","??"
"VMT:_One_Start","00:NA","??"
"BT:_One_Incorrect","00:NA","1"
"ST:_One_Incorrect","00:NA","1"
"PST:_One_Incorrect","00:NA","1"
"VMT:_One_Incorrect","00:NA","1"
"BT:26:33_Two_Start","00:NA",NA
"ST:_Two_Start","00:NA",NA
"PST:_Two_Start","00:NA",NA
"VMT:_Two_Start","00:NA",NA
"ST:_Two_Incorrect","00:NA","1"
"PST:_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"ST:_Blue_Start","00:NA",NA
"PST:_Blue_Start","00:NA",NA
"VMT:_Blue_Start","00:NA",NA
"BT:Can't Read Answers_Blue_Incorrect","00:NA","1"
"ST:_Blue_Incorrect","00:NA","1"
"PST:_Blue_Incorrect","00:NA","1"
"VMT:_Blue_Incorrect","00:NA","1"
"BT:22:31_Red_Start","00:NA","31"
"ST:_Red_Start","00:NA",NA
"PST:_Red_Start","00:NA",NA
"VMT:_Red_Start","00:NA",NA
"ST:_Red_Incorrect","00:NA","1"
"PST:_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"ST_Teach_Start","00:NA",NA
"PST:_Teach_Start","00:NA",NA
"VMT:_Teach_Start","00:NA",NA
"BT:_Teach_Incorrect","00:NA","1"
"ST:_Teach_Incorrect","00:NA","1"
"PST:_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
